date	B2C	B2B	Indicateurs	appelB2C	appelB2B	appelcasino	appelcdiscount	appellignedirecte	appeltunis	appelmaroc	id	appela	mois
1	1,44	1,32	Qualité de Prévision	294	252	132	109	53	53	53	Appels reçus	01/01/2020	janvier
2	1,03	1,39	Qualité de Prévision	313	270	136	108	69	69	69	Appels reçus	02/01/2020	janvier
3	0,56	0,74	Qualité de Prévision	307	287	120	110	77	77	77	Appels reçus	03/01/2020	janvier
4	0,72	0,62	Qualité de Prévision	296	286	121	100	75	75	75	Appels reçus	04/01/2020	janvier
5	1,35	0,98	Qualité de Prévision	311	217	135	115	61	61	61	Appels reçus	05/01/2020	janvier
6	1,5	1,03	Qualité de Prévision	288	277	108	114	66	66	66	Appels reçus	06/01/2020	janvier
7	0,94	0,66	Qualité de Prévision	279	269	104	106	69	69	69	Appels reçus	07/01/2020	janvier
8	1,2	1,48	Qualité de Prévision	273	287	112	98	63	63	63	Appels reçus	08/01/2020	janvier
9	1,44	1,12	Qualité de Prévision	293	295	115	105	73	73	73	Appels reçus	09/01/2020	janvier
10	0,83	1,41	Qualité de Prévision	303	212	143	96	64	64	64	Appels reçus	10/01/2020	janvier
11	1,17	1,16	Qualité de Prévision	315	212	141	117	57	57	57	Appels reçus	11/01/2020	janvier
12	0,64	0,51	Qualité de Prévision	278	284	102	120	56	56	56	Appels reçus	12/01/2020	janvier
13	0,7	0,62	Qualité de Prévision	312	228	121	113	78	78	78	Appels reçus	13/01/2020	janvier
14	1,18	0,57	Qualité de Prévision	297	224	127	116	54	54	54	Appels reçus	14/01/2020	janvier
15	0,63	1,35	Qualité de Prévision	265	243	104	108	53	53	53	Appels reçus	15/01/2020	janvier
16	1,49	0,88	Qualité de Prévision	292	276	112	109	71	71	71	Appels reçus	16/01/2020	janvier
17	0,9	1,47	Qualité de Prévision	286	225	100	112	74	74	74	Appels reçus	17/01/2020	janvier
18	0,57	0,93	Qualité de Prévision	273	261	106	109	58	58	58	Appels reçus	18/01/2020	janvier
19	1,1	0,76	Qualité de Prévision	329	289	144	110	75	75	75	Appels reçus	19/01/2020	janvier
20	0,52	1,45	Qualité de Prévision	253	247	106	97	50	50	50	Appels reçus	20/01/2020	janvier
21	1,06	1,4	Qualité de Prévision	300	302	132	96	72	72	72	Appels reçus	21/01/2020	janvier
22	0,89	0,89	Qualité de Prévision	303	287	127	120	56	56	56	Appels reçus	22/01/2020	janvier
23	0,51	0,98	Qualité de Prévision	320	274	140	104	76	76	76	Appels reçus	23/01/2020	janvier
24	1,44	1,5	Qualité de Prévision	263	255	112	97	54	54	54	Appels reçus	24/01/2020	janvier
25	0,54	1,06	Qualité de Prévision	327	277	135	118	74	74	74	Appels reçus	25/01/2020	janvier
26	1,31	1,12	Qualité de Prévision	314	290	143	104	67	67	67	Appels reçus	26/01/2020	janvier
27	1,34	1,47	Qualité de Prévision	285	226	117	92	76	76	76	Appels reçus	27/01/2020	janvier
28	0,78	0,62	Qualité de Prévision	286	243	116	98	72	72	72	Appels reçus	28/01/2020	janvier
29	0,76	1,27	Qualité de Prévision	304	253	112	115	77	77	77	Appels reçus	29/01/2020	janvier
30	1,09	0,77	Qualité de Prévision	290	273	115	95	80	80	80	Appels reçus	30/01/2020	janvier
31	0,9	1,28	Qualité de Prévision	311	286	143	90	78	78	78	Appels reçus	31/01/2020	janvier
32	0,99	0,96	Qualité de Prévision	307	244	126	120	61	61	61	Appels reçus	01/02/2020	février
33	0,67	1,42	Qualité de Prévision	254	275	100	92	62	62	62	Appels reçus	02/02/2020	février
34	0,68	0,94	Qualité de Prévision	296	232	112	105	79	79	79	Appels reçus	03/02/2020	février
35	1,42	1,32	Qualité de Prévision	255	223	106	98	51	51	51	Appels reçus	04/02/2020	février
36	0,77	0,82	Qualité de Prévision	298	234	145	94	59	59	59	Appels reçus	05/02/2020	février
37	1,15	0,92	Qualité de Prévision	299	295	139	95	65	65	65	Appels reçus	06/02/2020	février
38	0,74	0,95	Qualité de Prévision	313	250	141	95	77	77	77	Appels reçus	07/02/2020	février
39	1,49	0,76	Qualité de Prévision	292	234	107	111	74	74	74	Appels reçus	08/02/2020	février
40	1,38	0,63	Qualité de Prévision	278	246	127	93	58	58	58	Appels reçus	09/02/2020	février
41	1,45	0,66	Qualité de Prévision	269	246	111	96	62	62	62	Appels reçus	10/02/2020	février
42	1,4	0,77	Qualité de Prévision	306	299	144	101	61	61	61	Appels reçus	11/02/2020	février
43	0,94	0,88	Qualité de Prévision	262	223	104	106	52	52	52	Appels reçus	12/02/2020	février
