date	B2C	B2B	Indicateurs	appelB2C	appelB2B	id	appela	mois
1	1,44	1,32	Qualité de Prévision	247	252	recu	01/01/2020	janvier
2	1,03	1,39	Qualité de Prévision	265	270	recu	02/01/2020	janvier
3	0,56	0,74	Qualité de Prévision	282	287	recu	03/01/2020	janvier
4	0,72	0,62	Qualité de Prévision	281	286	recu	04/01/2020	janvier
5	1,35	0,98	Qualité de Prévision	212	217	recu	05/01/2020	janvier
6	1,5	1,03	Qualité de Prévision	272	277	recu	06/01/2020	janvier
7	0,94	0,66	Qualité de Prévision	264	269	recu	07/01/2020	janvier
8	1,2	1,48	Qualité de Prévision	282	287	recu	08/01/2020	janvier
9	1,44	1,12	Qualité de Prévision	290	295	recu	09/01/2020	janvier
10	0,83	1,41	Qualité de Prévision	207	212	recu	10/01/2020	janvier
11	1,17	1,16	Qualité de Prévision	207	212	recu	11/01/2020	janvier
12	0,64	0,51	Qualité de Prévision	279	284	recu	12/01/2020	janvier
13	0,7	0,62	Qualité de Prévision	223	228	recu	13/01/2020	janvier
14	1,18	0,57	Qualité de Prévision	219	224	recu	14/01/2020	janvier
15	0,63	1,35	Qualité de Prévision	238	243	recu	15/01/2020	janvier
16	1,49	0,88	Qualité de Prévision	271	276	recu	16/01/2020	janvier
17	0,9	1,47	Qualité de Prévision	220	225	recu	17/01/2020	janvier
18	0,57	0,93	Qualité de Prévision	256	261	recu	18/01/2020	janvier
19	1,1	0,76	Qualité de Prévision	284	289	recu	19/01/2020	janvier
20	0,52	1,45	Qualité de Prévision	242	247	recu	20/01/2020	janvier
21	1,06	1,4	Qualité de Prévision	297	302	recu	21/01/2020	janvier
22	0,89	0,89	Qualité de Prévision	282	287	recu	22/01/2020	janvier
23	0,51	0,98	Qualité de Prévision	269	274	recu	23/01/2020	janvier
24	1,44	1,5	Qualité de Prévision	250	255	recu	24/01/2020	janvier
25	0,54	1,06	Qualité de Prévision	272	277	recu	25/01/2020	janvier
26	1,31	1,12	Qualité de Prévision	285	290	recu	26/01/2020	janvier
27	1,34	1,47	Qualité de Prévision	221	226	recu	27/01/2020	janvier
28	0,78	0,62	Qualité de Prévision	238	243	recu	28/01/2020	janvier
29	0,76	1,27	Qualité de Prévision	248	253	recu	29/01/2020	janvier
30	1,09	0,77	Qualité de Prévision	268	273	recu	30/01/2020	janvier
31	0,9	1,28	Qualité de Prévision	281	286	recu	31/01/2020	janvier
32	0,99	0,96	Qualité de Prévision	239	244	recu	01/02/2020	février
33	0,67	1,42	Qualité de Prévision	270	275	recu	02/02/2020	février
34	0,68	0,94	Qualité de Prévision	227	232	recu	03/02/2020	février
35	1,42	1,32	Qualité de Prévision	218	223	recu	04/02/2020	février
36	0,77	0,82	Qualité de Prévision	229	234	recu	05/02/2020	février
37	1,15	0,92	Qualité de Prévision	290	295	recu	06/02/2020	février
38	0,74	0,95	Qualité de Prévision	245	250	recu	07/02/2020	février
39	1,49	0,76	Qualité de Prévision	229	234	recu	08/02/2020	février
40	1,38	0,63	Qualité de Prévision	241	246	recu	09/02/2020	février
41	1,45	0,66	Qualité de Prévision	241	246	recu	10/02/2020	février
42	1,4	0,77	Qualité de Prévision	294	299	recu	11/02/2020	février
43	0,94	0,88	Qualité de Prévision	218	223	recu	12/02/2020	février
44	0,87	1,35	Qualité de Prévision	297	302	recu	13/02/2020	février
45	1,25	1,12	Qualité de Prévision	288	293	recu	14/02/2020	février
46	0,97	1,42	Qualité de Prévision	271	276	recu	15/02/2020	février
47	1,01	1,08	Qualité de Prévision	300	305	recu	16/02/2020	février
48	1,38	1,33	Qualité de Prévision	211	216	recu	17/02/2020	février
49	1,28	1,23	Qualité de Prévision	265	270	recu	18/02/2020	février
50	1,26	0,92	Qualité de Prévision	238	243	recu	19/02/2020	février
51	0,56	1,41	Qualité de Prévision	209	214	recu	20/02/2020	février
52	1,16	1,45	Qualité de Prévision	229	234	recu	21/02/2020	février
1	0,98	0,98	Qualité de Service	216	221	traité	01/01/2020	janvier
2	0,63	0,63	Qualité de Service	215	220	traité	02/01/2020	janvier
3	0,68	0,68	Qualité de Service	214	219	traité	03/01/2020	janvier
4	0,71	0,71	Qualité de Service	213	218	traité	04/01/2020	janvier
5	0,84	0,84	Qualité de Service	212	217	traité	05/01/2020	janvier
6	0,81	0,81	Qualité de Service	211	216	traité	06/01/2020	janvier
7	0,69	0,69	Qualité de Service	210	215	traité	07/01/2020	janvier
8	0,57	0,57	Qualité de Service	209	214	traité	08/01/2020	janvier
9	0,62	0,62	Qualité de Service	208	213	traité	09/01/2020	janvier
10	0,75	0,75	Qualité de Service	207	212	traité	10/01/2020	janvier
11	0,92	0,92	Qualité de Service	206	211	traité	11/01/2020	janvier
12	0,5	0,5	Qualité de Service	205	210	traité	12/01/2020	janvier
13	0,78	0,78	Qualité de Service	204	209	traité	13/01/2020	janvier
14	0,5	0,5	Qualité de Service	203	208	traité	14/01/2020	janvier
15	1	1	Qualité de Service	202	207	traité	15/01/2020	janvier
16	0,8	0,8	Qualité de Service	201	206	traité	16/01/2020	janvier
17	0,91	0,91	Qualité de Service	200	205	traité	17/01/2020	janvier
18	0,68	0,68	Qualité de Service	199	204	traité	18/01/2020	janvier
19	0,64	0,64	Qualité de Service	198	203	traité	19/01/2020	janvier
20	1	1	Qualité de Service	197	202	traité	20/01/2020	janvier
21	0,84	0,84	Qualité de Service	196	201	traité	21/01/2020	janvier
22	0,91	0,91	Qualité de Service	195	200	traité	22/01/2020	janvier
23	0,88	0,88	Qualité de Service	194	199	traité	23/01/2020	janvier
24	0,75	0,75	Qualité de Service	193	198	traité	24/01/2020	janvier
25	0,53	0,53	Qualité de Service	192	197	traité	25/01/2020	janvier
26	0,64	0,64	Qualité de Service	191	196	traité	26/01/2020	janvier
27	0,51	0,51	Qualité de Service	190	195	traité	27/01/2020	janvier
28	0,87	0,87	Qualité de Service	189	194	traité	28/01/2020	janvier
29	0,87	0,87	Qualité de Service	188	193	traité	29/01/2020	janvier
30	0,8	0,8	Qualité de Service	187	192	traité	30/01/2020	janvier
31	0,77	0,77	Qualité de Service	186	191	traité	31/01/2020	janvier
32	0,57	0,57	Qualité de Service	185	190	traité	01/02/2020	février
33	0,75	0,75	Qualité de Service	184	189	traité	02/02/2020	février
34	0,86	0,86	Qualité de Service	183	188	traité	03/02/2020	février
35	0,83	0,83	Qualité de Service	182	187	traité	04/02/2020	février
36	0,54	0,54	Qualité de Service	181	186	traité	05/02/2020	février
37	0,7	0,7	Qualité de Service	180	185	traité	06/02/2020	février
38	0,7	0,7	Qualité de Service	179	184	traité	07/02/2020	février
39	0,71	0,71	Qualité de Service	178	183	traité	08/02/2020	février
40	0,83	0,83	Qualité de Service	177	182	traité	09/02/2020	février
41	0,65	0,65	Qualité de Service	176	181	traité	10/02/2020	février
42	0,94	0,94	Qualité de Service	175	180	traité	11/02/2020	février
43	0,84	0,84	Qualité de Service	174	179	traité	12/02/2020	février
44	0,81	0,81	Qualité de Service	173	178	traité	13/02/2020	février
45	0,91	0,91	Qualité de Service	172	177	traité	14/02/2020	février
46	0,82	0,82	Qualité de Service	171	176	traité	15/02/2020	février
47	0,65	0,65	Qualité de Service	170	175	traité	16/02/2020	février
48	0,93	0,93	Qualité de Service	169	174	traité	17/02/2020	février
49	0,75	0,75	Qualité de Service	168	173	traité	18/02/2020	février
50	0,67	0,67	Qualité de Service	167	172	traité	19/02/2020	février
51	0,55	0,55	Qualité de Service	166	171	traité	20/02/2020	février
52	0,98	0,98	Qualité de Service	165	170	traité	21/02/2020	février
